horizon,experiment,n,mae,rmse,median_absolute_error,direction,direction_all_rows,balanced_direction,active_direction,active_fraction,correlation,r2,calibration_slope,bias,mae_skill,mse_skill,price_mae_usd,within_2_usd,always_up_direction
7,persistence,537,0.024331401839477396,0.031575069991062917,0.019733462270708158,,0.0,,,0.0,,-0.03547074939770378,,-0.00584400510062347,0.0,0.0,93.29441340782127,0.0186219739292365,0.6145251396648045
7,historical_mean,537,0.023717746636796738,0.031192746002839316,0.019124960479613436,0.6145251396648045,0.6145251396648045,0.5,0.6145251396648045,1.0,-0.1046309991966425,-0.010546748576052867,-4.2158856836610035,-0.0021356985946442693,0.025220708890065224,0.024070212351385067,91.45826600692045,0.0148975791433892,0.6145251396648045
7,direction_majority,537,0.023776552814647262,0.03205429204863684,0.018021115980015545,0.6145251396648045,0.6145251396648045,0.5,0.6145251396648045,1.0,-0.1265688777690881,-0.06714042098619499,-4.082370881131915,0.007494194812834816,0.02280382480593035,-0.030584805613207866,92.21042854245641,0.0223463687150838,0.6145251396648045
7,ridge,537,0.023947386669710122,0.0312621244787468,0.018713366885134874,0.553072625698324,0.553072625698324,0.5157224418093984,0.553072625698324,1.0,0.12621705319461773,-0.015047036066357933,0.42044198093001384,-0.0008252973207586757,0.01578269810760413,0.01972408524646918,92.00069821617969,0.020484171322160148,0.6145251396648045
7,elasticnet,537,0.02400786431592716,0.03122719469496198,0.01939638526307471,0.5586592178770949,0.5586592178770949,0.5121651295564339,0.5586592178770949,1.0,0.1116335525606256,-0.012780039398629928,0.4233345596429451,-0.0014279391840197352,0.013297118089813487,0.02191342441326527,92.0656426730489,0.0074487895716946,0.6145251396648045
7,random_forest,537,0.024186811237046805,0.03218630281668436,0.0190837741186762,0.5977653631284916,0.5977653631284916,0.5133728590250329,0.5977653631284916,1.0,-0.06279514075771735,-0.07594823434187092,-0.28793296574596294,0.0009789383263931243,0.005942551250622818,-0.039090901377669685,93.73074719781245,0.024208566108007448,0.6145251396648045
7,gradient_boosting,537,0.023773538268400823,0.031394059754956224,0.01890295661076241,0.5940409683426443,0.5940409683426443,0.5193456302151954,0.5940409683426443,1.0,0.04890159812369419,-0.023632703553748025,0.23345963488641142,-0.00048419738211509284,0.022927720102482785,0.011432525593640719,91.85991588744906,0.0148975791433892,0.6145251396648045
7,mlp_raw,537,0.023677730035654238,0.031020402814045965,0.01843056802197965,0.5977653631284916,0.5977653631284916,0.505270092226614,0.5977653631284916,1.0,0.06465034196308209,0.000589155944322961,0.5201991043688939,-0.0001830881965298319,0.02686535729160433,0.03482464894638637,91.31006469210396,0.0111731843575419,0.6145251396648045
7,mlp_nested,537,0.024331401839477396,0.031575069991062917,0.019733462270708158,,0.0,,,0.0,,-0.03547074939770378,,-0.00584400510062347,0.0,0.0,93.29441340782127,0.0186219739292365,0.6145251396648045
7,direction_logistic,537,0.023560981205404997,0.030873570104585604,0.018838629503093923,0.6126629422718808,0.6126629422718808,0.5371980676328503,0.6126629422718808,1.0,0.1206920438202724,0.010028033769338252,1.0184623702453033,-0.0020893160293407108,0.031663635295456016,0.043940191640861714,90.90188692246724,0.0297951582867784,0.6145251396648045
